Day,Dose,Elution
79,1,1092.395859
80,1,1111.774459
84,1,1135.266324
85,1,1141.127262
86,1,1147.79649
87,1,1155.73625
88,1,1165.359185
91,1,1178.078773
92,1,1194.348478
93,1,1211.111433
94,1,1228.079221
95,1,1245.335041
99,1,1264.396362
100,1,1277.895017
101,1,1289.668961
102,1,1302.198686
112,1,1319.559246
113,1,1319.270558
114,1,1319.284354
115,1,1320.256921
116,1,1322.763678
119,1,1320.631402
120,1,1318.969888
121,1,1318.180669
122,1,1317.97298
123,1,1318.360667
126,1,1323.155011
127,1,1328.559407
128,1,1335.562587
129,1,1344.232819
130,1,1353.926558
133,1,1366.548268
134,1,1378.811915
135,1,1392.284024
136,1,1405.845352
140,1,1421.870998
141,1,1424.741569
143,1,1427.93834
144,1,1431.27864
147,1,1435.049526
148,1,1437.615642
149,1,1442.506202
150,1,1446.88266
151,1,1451.417303
154,1,1456.208861
155,1,1455.065933
156,1,1455.535662
157,1,1457.6376
158,1,1457.479415
161,1,1461.407412
162,1,1470.296226
163,1,1473.539023
169,1,1487.88475
170,1,1489.887891
171,1,1494.251167
172,1,1491.902519
173,1,1496.990811
176,1,1500.588664
180,1,1498.790607
183,1,1506.515319
184,1,1500.164877
185,1,1501.429407
186,1,1501.207072
187,1,1502.951661
190,1,1506.621483
191,1,1509.504915
192,1,1511.731937
193,1,1514.298053
197,1,1515.973413
198,1,1514.881561
201,1,1513.526494
204,1,1510.044563
205,1,1509.920839
208,1,1511.387846
211,1,1511.539941
212,1,1522.703868
213,1,1535.748291
214,1,1545.994873
215,1,1554.971792
225,1,1565.982844
226,1,1575.787835
232,1,1588.16761
233,1,1594.968685
234,1,1602.967138
236,1,1603.397723
239,1,1602.596888
240,1,1630.278753
241,1,1658.506028
243,1,1676.9794
246,1,1692.962129
249,1,1712.168317
253,1,1731.387549
254,1,1730.81877
260,1,1727.008608
267,1,1732.333299
268,1,1733.520671
274,1,1745.406296
281,1,1748.870553
282,1,1750.181503
289,1,1755.941418
296,1,1758.423857
303,1,1764.856544
310,1,1774.183894
311,1,1775.193961
317,1,1780.462688
324,1,1786.208955
325,1,1788.941061
338,1,1796.158262
339,1,1801.70007
345,1,1809.806851
352,1,1815.80268
353,1,1818.407287
358,1,1821.541243
366,1,1828.814766
367,1,1824.032459
373,1,1824.058555
380,1,1821.759384
394,1,1821.964127
395,1,1823.509124
401,1,1828.421532
408,1,1835.630351
409,1,1842.41379
415,1,1850.816771
422,1,1859.545424
423,1,1852.46452
436,1,1851.09826
437,1,1843.326734
443,1,1837.115567
450,1,1835.657547
451,1,1843.849751
464,1,1857.279406
465,1,1859.824927
479,1,1865.966967
480,1,1872.88683
494,1,1887.575957
495,1,1895.672006
501,1,1904.117629
508,1,1904.272724
509,1,1903.867548
515,1,1905.112962
522,1,1907.117077
523,1,1911.360662
536,1,1915.891144
542,1,1916.629511
549,1,1915.542903
550,1,1919.061449
556,1,1925.225206
563,1,1927.682872
564,1,1925.30117
571,1,1922.427385
577,1,1916.967195
578,1,1907.256911
592,1,1899.363693
593,1,1899.378682
607,1,1904.385973
608,1,1897.910829
621,1,1876.752592
622,1,1875.92874
635,1,1874.790232
636,1,1869.793097
649,1,1861.324978
650,1,1858.24045
663,1,1856.256644
